"","RS05272016SE_T2","TB05292018TC_T1","MM10082018TM_T1","MM01112019VJ_T1","MM04192019YF_T1","MM_0257_BM_03_NA","MM_1951_BM_04_NA","Takeda_Ctrl_15_P1","P1_HDPlasma_1017_1","TB12092016KL_T4","TB06182018RS_T1","MM10082018TM_T2","MM10132017WL_T3","MM02152019JN_T2","MM_0422_BM_02_NA","MM_0590_BM_03_NA","P1_HDPlasma_1017_2","TB3040_T3","TB04052017KK_T2","TB11012017JH_T3","MM08082018SM_T2","MM02152019JN_T1","MM05032018RK_T2","MM_0237_BM_03_NA","MM_0501_BM_04_NA","RS05272016SE_T1","TB08112017JC_T2","TB07262018HF_T1","MM12102018KD_T2","MM08022018JO_T2","MM12062018MK_T3","MM_1951_BM_03_NA","TB01092018VC_T2","TB7083_T1","TB11012017JH_T2","TB08022018JO_T1","MM12142018RH_T1","MM04052017KK_T3","MM01142019GB_T2","MM_0255_BM_03_NA","Takeda_Ctrl_2_P1","TB3040_T5","TB05032018RK_T1","TB08082018SM_T1","MM01042019CA_T1","MM12192018RH_T3","MM08052019TJ_T1","MM_0002_BM_04_NA","Takeda_Ctrl_5_P1","TB07052017VC_T1","TB05112018JD_T1","MM04172018DG_T2","MM12062018MK_T2","MM01042019CA_T2","MM05292018TC_T2","MM_0591_BM_02_NA","Takeda_Ctrl_8_P1","TB7077_T3","TB05232018SL_T1","MM10132017WL_T2","MM01142019GB_T1","MM04182019JJ_T1","MM05112018JD_T4","MM_0569_BM_02_NA","Takeda_Ctrl_12_P1","P2_HDPlasma_1017_1","P2_HDPlasma_1017_2","38Pre_TB06112018PS","38Post_MM_0370_BM_03","39Pre_MM_1330_BM_01","39Post_MM_1330_BM_02","41Pre_MM01152019WM","41Post_MM_0502_BM_02","42Pre_TB08282017SN","42Post_MM_0382_BM_03","43Pre_MM_5209_BM_01","43Post_MM_5209_BM_02","44Pre_MM_5278_BM_01","44Post_MM_5278_BM_02","45Pre_MM09282018MWM","45Post_MM_0418_BM_03","46Pre_MM06042018MH","46Post_MM_0327_BM_03","47Pre_TB05172017KR","47Post_MM05172017KR","48Pre_TB05212013MT","48Post_MM05212013MT","20Pre_MM08052019TJ","20Post_MM_0422 BM_02","11Pre_ TB08112017JC","11Post_ TB08112017JC","28On_RS12092016KL","22On_MM07262018HF","25On_MM06182018RS","31On_MM04182019JJ","38On_MM_0370_BM_02","Takeda_Ctrl_8_P2","Takeda_Ctrl_5_P2","Takeda_Ctrl_2_P2","Takeda_Ctrl_15_P2","Takeda_Ctrl_12_P2"
"CCL4",8.18,6.58031,7.87944,8.44221,7.38764,7.70036,7.1503,11.73173,6.37818,7.49603,6.26313,11.11599,8.06072,9.15863,8.83987,8.11443,6.55136,10.16513,6.50135,8.08629,6.54654,7.20798,7.06431,9.24008,10.28362,7.72381,7.97153,7.39311,7.92888,8.21543,8.85033,7.51087,7.34523,6.74976,7.88985,7.88742,7.91782,7.46431,7.87511,7.08971,14.37943,9.12597,6.93267,7.92545,8.68684,8.0772,8.24632,7.48789,12.44197,7.52848,7.18934,6.29296,6.6424,8.73851,6.95039,8.32662,11.80833,7.49316,6.61546,6.86649,7.35334,7.26645,8.35975,7.81381,13.69028,5.79968,5.92735,6.18973,7.17395,6.02248,6.69591,7.20979,6.16302,7.19798,6.76615,6.68029,6.43958,8.87943,6.39228,6.92354,7.58157,6.26429,6.80454,5.96234,7.20238,7.43112,7.73515,7.09448,7.77725,6.56233,7.14004,5.94652,6.93848,6.85107,7.99895,7.36512,11.01949,11.51295,13.19764,10.84292,12.91506
"IL15",6.04353,5.2008,5.65658,5.62254,5.09898,5.74367,5.82612,4.28716,5.22444,7.24282,5.56001,6.09605,5.87162,6.93837,6.5028,7.70745,5.62659,5.9038,5.43664,7.11159,5.71856,5.45454,5.45725,6.04791,6.43901,5.69289,6.63725,5.39138,5.81718,7.23072,5.58597,6.24386,6.17457,5.45939,6.2058,5.501,6.22137,6.74245,6.76178,6.57018,4.19796,5.67789,5.33218,5.88353,6.29787,6.71326,7.25185,6.11449,4.46226,5.84582,6.43518,5.52307,5.69102,6.27427,6.43787,5.30564,3.96812,6.62661,5.87758,6.35475,6.4283,5.60159,7.35595,6.76353,4.29432,4.76198,4.73615,4.54658,5.85761,4.49014,6.27667,4.68005,4.64099,4.90914,7.09035,4.74668,5.72435,5.08497,5.58086,4.27549,5.25116,5.39157,5.42309,4.65665,5.31662,6.47738,6.42895,5.93082,5.35144,5.58525,5.77553,5.15278,4.54615,5.60392,6.85301,6.62377,3.00777,3.24916,2.99444,2.85384,3.08677
"Gal.1",7.97747,7.99511,7.70687,7.69852,8.12024,7.96413,7.61754,6.34809,6.85708,8.27712,7.34265,7.581,7.58846,7.86158,7.57022,7.85703,7.01092,7.80297,8.00139,8.10935,7.97573,7.90509,7.94016,7.92721,7.53564,8.04493,8.12299,8.07615,7.96487,7.94742,8.03387,8.17509,8.14413,8.06953,7.99585,8.18493,7.88867,8.07121,8.07775,7.52854,6.83162,7.99368,7.96532,7.8352,7.74424,7.86478,7.78375,8.14404,6.33497,7.84731,7.63051,7.90931,8.06571,7.6255,7.9016,7.85328,6.31034,8.25254,7.81774,7.49754,7.79494,7.94749,8.0635,7.75459,6.75543,6.23782,6.26837,6.9668,6.43539,7.16075,7.18024,7.18216,7.04438,6.90459,7.01916,7.15121,6.93402,6.91753,6.87571,7.08572,7.23274,6.71198,7.08234,6.93991,7.01478,6.92503,7.07711,6.80641,6.46032,6.90222,7.08878,7.15584,7.00834,6.98057,6.83562,6.97283,5.34083,5.40887,5.67611,5.34704,5.62998
"PD.L1",6.80056,6.30791,6.01945,6.25481,6.65168,5.69234,5.82521,5.41419,6.18113,6.7958,6.82304,11.04533,6.02607,8.52817,6.37226,6.25105,6.31033,10.16364,7.41331,6.753,5.1721,7.53854,5.71936,6.3521,6.34477,6.18833,6.95807,7.76836,6.10167,6.70448,6.37021,6.09116,6.60981,5.82601,6.48703,7.15927,7.54038,6.43468,6.48771,6.42945,5.64083,9.88492,8.23898,6.65635,6.22334,7.41526,7.1885,6.3522,5.12645,6.19118,7.87192,6.37055,6.9469,5.70553,5.97437,6.39153,4.88515,7.89251,7.37063,6.29349,6.16393,6.47125,9.20278,6.78606,6.0738,5.6322,5.58104,9.07582,5.88499,5.51182,4.88485,6.83678,5.91577,5.33199,5.59842,5.50155,5.04746,9.88448,6.07758,5.13618,5.35721,8.30087,6.14007,5.98706,5.92929,6.12519,6.21045,6.2937,5.48766,5.97675,6.18391,5.31268,5.5195,5.72556,5.9057,5.78792,4.12736,4.74926,4.96078,5.03539,5.47922
"CD27",8.60524,8.36342,7.28675,8.23561,8.69752,7.55581,6.71489,7.04225,8.08183,7.72982,8.49944,7.88878,7.6374,9.1063,7.92369,7.40162,8.24941,8.88728,8.48854,7.00929,7.10166,8.40065,7.8348,7.45051,7.99404,8.81907,7.33447,8.14611,7.75559,8.33881,7.38115,6.9007,7.1111,8.13251,8.30198,8.60625,8.20728,7.6455,7.49673,9.24323,7.21684,8.62241,8.41023,8.46809,7.79134,8.24336,8.43963,7.66973,6.87584,7.99313,8.31832,8.04481,8.98995,7.48901,7.15466,8.16127,6.78684,9.49136,9.76414,7.85941,8.3558,8.15568,7.54885,8.42761,7.27536,7.66248,7.58141,9.75576,5.78763,7.31721,7.3602,7.54189,6.86015,6.89929,6.22975,6.78397,6.68894,8.2693,7.37432,7.16374,7.03423,9.18155,7.59701,8.2515,7.06799,7.17601,7.17874,7.50588,7.02222,7.4776,6.4596,7.02297,6.69891,7.08037,6.90154,5.81576,5.98976,5.98458,6.24977,6.12226,6.29811
"CXCL5",10.0369,11.43329,9.82852,13.58893,13.50895,10.74611,12.93533,9.73736,12.69475,9.62947,9.4791,10.78858,12.0643,10.34759,11.28479,10.23985,12.88323,9.61183,11.96439,8.4175,9.99102,10.04324,9.81032,9.91373,12.72817,8.16973,10.07512,11.60215,12.28531,10.09065,10.56088,12.8123,11.77092,10.28709,9.90067,10.70026,11.43729,11.68594,10.47912,8.36455,14.32441,10.542,11.65592,10.98378,11.05225,12.09155,11.37447,12.42578,8.14805,10.4557,11.79938,10.99247,12.30241,9.23773,9.8979,12.23709,10.30356,10.37288,9.85597,10.13855,9.72536,9.54441,12.63488,10.16795,13.99024,11.49144,11.48299,9.51416,8.05622,10.24313,8.47591,9.07862,8.77449,8.62427,8.13534,9.92523,9.8288,7.97516,6.87575,10.68447,10.55443,9.70181,10.42828,8.98388,7.3129,7.75759,9.13371,9.96997,9.73309,8.74219,8.8039,7.63372,9.04407,7.4634,9.15648,8.57446,9.03466,6.95691,12.95406,8.3823,12.76519
"IL5",2.33518,2.33679,3.15078,2.08802,2.3196,2.12028,2.3287,1.84299,2.72601,2.37548,1.87017,3.03779,5.31754,2.38026,2.88335,2.24883,2.06079,1.98709,1.62788,3.25358,1.87801,2.33103,2.13988,2.88848,1.53181,1.65205,2.18626,1.18062,2.59086,1.48639,1.37345,1.5068,2.26972,1.78457,3.1792,1.8442,1.88224,2.0568,3.41728,2.0263,1.60974,1.44907,1.70287,1.94101,1.94184,2.06749,1.79873,2.02437,1.78488,1.8848,2.34229,1.95548,2.3428,2.5265,2.48004,2.43568,1.69187,2.42781,1.64039,4.19129,2.08163,1.98244,1.8136,2.34451,3.11238,0.77188,1.2619,0.4531,2.257,-0.19317,1.11358,-0.32962,0.34301,-0.45225,0.86272,0.34496,-0.14323,-0.14341,0.08365,0.48714,0.46486,0.38197,-0.27657,NA,0.39106,0.43114,NA,-0.4123,0.153,1.30881,0.06224,0.97765,0.94326,0.15835,0.6019,0.53005,-0.42082,0.65485,0.32523,0.30174,0.0021
"HGF",11.13292,9.66896,9.60423,11.77995,9.42249,8.88796,10.12003,8.62321,7.74898,11.06401,9.57072,12.12201,9.98074,12.27834,11.88258,10.45782,7.91834,10.00173,10.00244,9.2371,9.20259,11.25757,8.98646,9.83795,12.03393,11.53947,10.04409,9.22447,8.78113,9.31624,9.53638,9.43061,12.38938,8.59323,10.45056,10.11347,9.3207,9.77492,9.49766,13.30324,8.7886,10.37498,11.16221,13.99103,12.32231,8.68681,12.91643,9.10427,7.84386,13.00962,12.1944,8.99048,9.75227,11.06464,9.60533,10.01722,7.87609,13.232,9.99305,9.81273,9.89148,10.64054,11.11224,10.21242,9.15693,7.15848,7.15688,8.7952,10.33763,7.90044,8.44033,9.17241,8.86124,9.17438,9.53073,11.83304,9.5109,11.02607,8.26128,8.26587,8.76972,12.35527,9.31655,9.42555,9.53095,10.85097,10.6378,11.80306,10.87413,8.82781,9.02348,7.6668,8.91305,9.99699,9.84197,9.38431,6.9012,6.86907,7.71094,7.54173,8.10033
"GZMA",12.20316,7.46957,7.41934,9.55453,8.97963,7.56804,7.93903,7.80093,8.19061,10.40783,6.99885,9.33952,7.77679,9.09593,11.66455,7.21102,8.33109,9.46733,10.25752,7.43687,7.82216,7.7553,7.79493,8.9309,10.23914,8.76474,10.26827,8.48676,8.02284,6.5862,7.98134,8.41726,8.5378,7.72051,8.02884,8.02137,9.18096,8.07209,7.10963,7.86022,7.09182,9.03327,8.80522,12.44553,9.8666,8.52148,9.99849,8.31702,6.83206,9.07446,8.81307,7.95061,10.57182,9.41402,7.65341,9.40138,6.43258,11.26346,8.5887,7.77075,9.59713,7.70023,7.7394,7.29014,8.11586,6.94529,7.0524,6.69897,6.43344,5.89882,6.10942,7.21193,7.36635,8.09877,6.75835,7.6026,6.80948,7.82811,6.23165,6.24803,7.27738,7.81002,6.98745,6.93207,6.86576,6.35622,8.01837,8.57329,9.97472,7.29358,8.14612,6.50552,8.61524,6.39694,6.74652,5.84409,5.39989,6.08586,5.84472,7.04738,7.16762
"HO.1",13.01923,13.12718,12.9734,13.08375,13.70961,13.59846,14.08658,10.9419,12.603,13.74298,13.81451,12.5062,13.86585,13.46378,12.91522,13.44343,12.71982,14.23967,13.42558,13.39463,13.86687,13.74627,14.26258,12.96938,13.59203,14.33892,13.85217,13.71846,13.84759,14.02751,13.83412,14.40541,14.51819,14.23743,13.45537,14.23279,14.28578,13.49774,14.27886,13.91049,11.64238,14.30807,14.18159,14.22914,13.95423,13.39958,14.25728,14.22971,11.41384,13.80765,12.71697,14.03256,13.98152,13.81615,13.5934,13.50477,11.45472,14.34243,13.90777,14.04269,13.50233,13.12785,12.9088,13.47842,11.00466,11.84396,11.85715,11.17255,11.24361,13.25506,13.08126,13.0484,12.60693,12.19808,13.14171,13.05504,12.61498,13.09575,12.92035,12.9482,13.1401,12.64268,13.07745,12.49961,12.41426,12.04694,11.96045,13.13983,11.89855,13.16201,12.78569,13.26054,11.50199,12.18245,11.63491,12.14523,10.37681,10.38069,10.46103,9.8843,9.89122
"CX3CL1",4.49468,4.44069,4.19591,4.02966,3.87181,4.43944,4.07104,2.38654,3.86193,3.94117,4.44852,3.68975,5.01394,5.93124,3.81901,5.38684,4.11183,7.58099,3.55612,4.60226,3.23186,4.91825,4.05328,3.71597,4.01142,3.96694,4.27437,4.23917,4.14582,5.05636,4.902,4.3818,3.92838,4.13158,4.24906,4.64103,4.10126,3.87522,4.0194,3.83434,2.54118,6.77275,4.57232,4.21247,3.49995,4.41277,4.42032,3.95812,2.47598,3.32389,5.00464,4.22146,6.29963,3.83424,4.8433,3.97909,2.38619,4.28726,4.76315,4.09363,2.84175,4.89006,6.66432,4.87509,2.67343,2.99057,3.03944,4.27388,2.8631,2.81765,3.03241,2.91071,3.04416,2.57054,3.17615,2.67793,2.35341,6.46513,3.20884,3.08917,3.30814,4.43376,4.15833,2.87368,3.19803,2.8654,2.94855,2.95529,2.25048,2.83687,2.94576,2.84285,2.05083,2.8049,4.39582,3.23694,0.96121,1.16206,1.04715,0.98357,0.95744
"CXCL10",12.40679,9.78063,9.22406,11.17653,10.35428,10.33244,10.28876,15.15763,10.03307,12.26319,9.65413,12.75797,10.66138,13.28763,9.997,10.07853,10.19649,12.69276,9.68996,11.26864,9.27041,9.76706,10.42424,9.39297,11.26602,11.91582,12.19725,8.45512,10.57225,10.60222,11.03211,10.49836,11.35835,9.53313,11.06649,10.47962,10.13527,9.85032,8.9024,10.86397,12.90375,12.04463,10.19202,10.99367,11.25528,11.72983,11.79971,12.58055,15.24342,10.78733,10.25716,8.89912,11.47014,10.79181,9.67473,11.53715,11.7119,11.91658,9.50455,12.40055,9.65532,9.3541,10.97496,9.34161,13.86078,8.92784,8.98511,7.56595,7.9095,7.90701,7.65823,8.69112,7.98025,8.91686,9.31197,8.72488,7.90122,10.88471,8.99695,8.10885,8.78362,9.68605,9.17497,10.07216,10.33175,8.50105,9.23347,9.95643,8.07182,10.07922,10.71228,8.25435,7.85126,8.29943,8.65722,7.55976,10.07313,13.31021,11.30402,13.32247,12.36117
"CD70",4.49091,3.90042,4.05571,3.96615,3.69245,3.80464,3.78333,4.61937,3.85002,4.54132,3.64252,4.43689,4.3943,5.25112,3.98971,4.33547,4.00303,5.98956,4.20286,4.81767,3.38621,3.81618,3.5791,3.938,4.65004,4.19058,4.15358,4.30372,4.21356,5.25126,4.36657,4.04775,5.46517,3.84855,4.29352,4.6193,7.90547,4.36358,5.68753,5.08109,5.96979,7.18677,3.86249,10.89222,3.64543,8.16153,3.87778,4.16741,4.49432,4.20684,4.04868,3.82524,5.24758,4.11005,3.84646,3.88766,3.24176,4.9598,3.72402,4.27439,7.32392,4.21478,7.6828,3.13442,5.95496,2.87323,2.93491,2.28579,1.75057,2.79766,3.00909,2.6318,3.26675,2.06796,3.07743,3.16694,2.88431,5.48875,3.33381,2.57484,3.06435,3.01998,3.18475,3.49894,2.41268,1.99775,2.16684,2.52917,2.15323,2.53743,3.02094,3.58118,1.82064,2.34953,3.64883,2.01522,1.43735,2.14311,2.86019,1.91053,2.55281
"IL10",5.07127,3.47304,3.16691,3.94558,4.37452,3.68769,3.33058,3.62038,3.7445,5.78459,2.64087,4.69586,5.15283,5.2967,3.86183,4.78274,4.05267,4.27827,2.88061,4.45962,4.38345,3.7763,3.81386,4.25071,5.01643,6.2207,4.63707,2.74865,4.40511,5.57584,4.59756,3.8923,3.448,6.29549,4.18077,4.27206,4.68129,3.81608,4.24218,9.10532,11.51168,4.21955,3.51944,10.44159,3.803,4.64847,4.66815,4.33467,3.68994,3.33939,3.98284,3.12882,4.8563,4.65549,3.16932,3.73642,4.76162,6.87461,3.72512,4.47481,2.79401,4.02952,5.17941,3.23683,10.73467,3.16586,3.37274,2.5851,3.28206,2.24402,3.0626,3.18864,3.77584,3.20571,3.53265,2.62107,3.82688,3.34473,2.65079,2.39773,3.53162,2.1247,3.4296,1.7677,2.59588,2.86673,3.63258,3.47511,2.76677,2.77206,3.7601,2.71675,2.06561,2.76281,3.34234,4.35154,3.6308,2.59317,10.23411,2.12482,9.59232
"TNFRSF12A",6.12627,6.75865,4.85009,5.18026,5.62379,4.64641,5.96136,3.13513,4.62007,5.06153,5.66075,5.35791,5.81463,7.62881,4.94147,6.02494,4.85049,6.24046,5.79185,5.38312,5.17332,6.77819,4.96135,4.8261,5.74356,5.89911,5.83854,5.73012,5.47868,6.86417,4.99244,5.63145,5.3268,5.26871,5.88813,6.68697,6.07379,5.75282,5.67486,6.41741,3.62268,6.86765,4.93447,5.22992,6.09921,5.91985,5.85519,5.06406,3.28733,5.33673,6.20262,4.96731,5.39857,5.8462,6.39627,5.61849,3.26182,6.02742,6.4351,5.7065,3.74551,5.62185,6.4493,6.48222,3.42659,4.11873,4.28561,5.00458,4.25468,4.59053,4.65806,4.98897,4.29302,4.24652,4.52332,4.29482,4.36113,6.68829,6.119,4.18922,4.46095,6.28515,5.98809,4.95876,4.95488,5.67422,5.23351,4.60744,3.74397,4.82591,4.80123,4.68666,4.10349,4.60461,5.15583,4.70082,2.48422,2.62886,2.36849,2.19126,2.35189
"CCL23",11.5562,10.99581,10.05271,10.57951,11.82653,10.70672,10.52446,8.75074,10.09153,10.91659,10.92574,10.77041,10.96308,11.93832,10.38124,11.78831,10.33749,11.63372,10.66575,12.17671,10.56049,11.03563,11.22447,11.48067,9.99744,11.70363,10.55502,11.54484,10.94424,12.14048,11.94471,10.85076,11.03376,10.68123,10.58293,11.81885,12.61773,10.98409,11.82792,13.27333,11.49019,11.74769,11.04869,11.74153,11.13185,11.66856,11.27623,10.78889,8.31854,10.70422,10.65005,10.5495,11.54914,11.04656,11.13859,10.724,8.50323,11.60748,10.77011,11.61401,10.49727,11.6033,11.35052,11.41234,11.34206,9.6357,9.7578,10.51495,10.29319,10.74141,10.40525,10.08895,10.14079,10.16288,10.61063,9.74901,9.7517,11.21495,11.17453,9.15013,9.11633,10.71399,11.18364,9.66323,10.89948,11.19322,10.79573,10.29925,9.47609,9.13927,9.70115,9.91522,10.35391,10.41932,10.70335,10.63578,7.95628,7.87258,10.62785,8.18681,10.76753
"CD5",7.76214,6.41901,5.74477,7.17629,7.09497,6.06964,7.01197,5.29599,6.11281,7.99084,5.82576,7.10017,6.05906,8.14382,7.59524,6.42459,6.20074,6.28894,6.26297,5.85729,6.36271,6.44948,6.53405,6.6687,6.84574,6.5597,7.19958,7.11524,5.71141,6.41257,5.80588,7.18876,6.52192,6.14599,5.50956,6.83526,6.35035,6.28606,6.01732,6.90764,5.70325,6.77988,6.90274,8.11544,7.18534,6.51746,7.07556,5.71366,5.3123,6.38724,6.16764,5.96325,6.65131,6.84341,6.54851,7.23969,5.34566,6.9217,7.05868,5.72074,7.40881,6.21443,6.26158,6.76306,5.45554,5.10726,5.11352,5.4,5.59193,4.7085,5.18629,5.02136,5.5406,5.20802,4.84905,5.76756,6.46863,5.4969,5.27605,4.7865,5.5465,6.27746,6.57517,6.19473,6.59118,6.59428,6.33402,5.84684,6.35663,5.06692,5.81609,5.20204,5.66714,6.16032,6.14667,5.16865,5.07588,5.67504,5.54879,5.54944,5.59047
"CCL3",9.11082,6.94403,6.81516,8.06493,6.9157,6.58382,7.39531,10.06358,5.52568,8.0133,6.14047,10.54662,8.67102,9.53462,11.09679,7.17391,5.54722,11.04317,7.21068,8.13856,6.21895,7.38192,7.01286,9.98419,10.43579,9.54393,8.5448,6.87479,6.36584,7.88351,7.85342,9.96073,7.21588,6.87136,8.50554,7.35897,7.98124,7.22046,6.93313,7.72544,14.2516,10.43663,7.33348,11.21829,8.11868,7.68769,8.02326,7.13633,10.89912,7.88878,7.37404,5.80896,6.85498,8.48118,7.64219,8.40416,10.22633,7.84492,7.08282,7.26545,9.65383,6.76498,8.55191,7.98319,14.21937,5.08821,5.12205,6.00146,7.35825,5.79005,6.11136,6.80712,5.67437,6.11167,6.78521,6.51874,6.12271,9.16732,6.23769,5.80958,6.65258,6.32864,6.64014,5.58064,6.8855,7.22298,8.0192,7.2162,10.16347,6.44832,7.53877,6.22696,7.34582,6.48865,7.44695,7.4504,9.51498,10.13362,13.21418,9.33464,13.30753
"MMP7",13.26041,13.36253,12.76215,12.01367,12.7437,12.35375,12.33035,11.42766,12.68855,13.19975,13.00496,12.86532,13.461,14.17784,13.19403,13.39105,12.83407,12.92629,13.25402,12.19768,12.76699,14.0117,12.70069,12.57997,13.07332,12.71631,13.41053,12.84925,12.36213,13.34995,12.52264,12.50669,12.69127,13.00676,13.11143,13.17953,12.8763,13.41522,11.97166,12.66432,11.26597,13.27237,13.12684,13.58099,13.59384,12.30015,13.6042,12.4398,10.98634,11.94613,13.26338,12.66456,10.80347,13.39022,13.39295,12.75455,10.90313,13.41591,13.89777,13.74373,12.4215,13.16408,13.21705,13.6757,11.72279,11.62549,11.53941,12.78486,11.9521,12.19606,11.62152,10.71114,10.74675,10.66518,11.48699,11.43211,11.3897,12.7978,12.06153,11.46892,10.92274,11.23118,12.65543,11.841,12.3346,11.71651,11.79683,12.21235,11.87906,12.04773,12.10419,11.70769,11.15827,11.46563,12.07789,12.30815,9.74079,9.74244,9.9404,10.12406,10.32267
"ARG1",8.33979,7.48273,7.44577,8.78567,8.36403,7.81226,8.00547,5.40273,4.66853,8.96916,7.00266,8.64144,7.80243,9.09834,8.34353,8.11947,4.64897,7.28943,7.88557,7.61042,8.05235,7.75606,7.93127,8.12479,8.27439,7.63746,7.60066,7.87731,7.79277,7.51157,7.8859,8.03168,6.89275,7.37911,8.35119,7.88945,7.10537,8.26365,8.39797,7.62624,5.53607,8.3644,8.27372,8.30518,8.77935,6.54722,8.0638,7.39611,5.34314,7.58963,8.36151,8.02634,8.31496,8.45461,8.15529,8.49584,5.49936,7.10771,8.35439,7.31628,8.04329,8.12917,7.89208,8.69209,5.00172,3.89766,3.85028,6.06243,7.61709,6.24815,6.98577,6.85773,6.94555,7.3851,7.38022,6.48838,7.57041,6.42763,6.66111,6.87671,7.2625,7.50853,7.15469,7.35574,7.73773,7.9369,7.81046,6.99342,7.21809,6.5277,6.56113,6.55904,7.38224,7.55485,7.40095,7.54162,4.54432,4.40075,4.45303,4.50489,4.01913
"NCR1",5.04977,5.18431,4.33728,4.57197,4.79918,3.97627,4.16211,3.6232,3.99805,4.26497,4.88645,4.63061,5.42069,6.36844,4.04185,3.76729,4.10503,5.28754,4.39585,4.51012,3.24049,6.12779,3.93712,3.46112,4.06139,4.49666,4.64429,4.94787,3.79287,3.85902,3.98487,4.31863,3.82652,4.62829,5.07611,5.11329,5.47396,3.78576,3.68494,4.31964,2.82429,4.81222,4.70569,5.49709,5.04865,4.70896,5.79113,4.00767,2.88765,4.13927,5.3867,4.59129,3.1863,4.23288,4.39735,4.56102,2.73714,5.60803,4.34835,5.35535,5.04659,4.8153,5.05597,4.2777,3.75819,3.47281,3.26739,5.32967,3.59186,3.38759,2.70825,3.6445,3.22993,4.3553,3.02542,3.35361,2.07199,4.73353,4.2205,3.48891,2.93625,5.00093,4.05828,3.70571,3.45986,3.11495,2.77493,4.7103,2.7632,3.34068,3.60004,2.53741,2.41223,2.64897,2.6395,2.92264,1.41212,1.79377,1.77013,2.44521,2.54419
"DCN",5.35158,5.12857,5.19055,5.33338,5.42259,4.82361,4.95618,3.35295,4.25316,5.27906,4.98447,5.33693,5.53464,5.40147,5.63558,5.66251,4.26937,4.98854,5.09348,5.59219,4.52363,5.11577,4.69323,5.00603,5.17498,4.93585,5.22665,5.23828,4.7975,5.13548,4.90677,4.79813,5.1212,5.65161,5.67812,5.3638,5.01613,5.44538,4.88786,4.99442,3.14738,5.33264,5.14972,5.44981,5.58524,4.90286,5.21374,4.87584,2.97955,5.27822,5.70415,4.90332,5.0717,5.33439,5.06194,5.15864,3.24211,5.57803,6.10312,5.01628,5.11751,6.06917,5.17325,5.16968,3.41406,3.72921,3.78834,4.42454,4.10152,4.80215,4.54375,4.29495,4.81876,4.26652,4.75454,4.22374,5.97228,5.11376,4.43574,4.13586,4.24245,4.5732,5.01789,4.35817,4.41872,4.53433,4.42665,4.31734,4.69293,4.11677,4.39746,4.53004,4.14371,4.34256,4.90043,4.34102,2.41224,2.30436,2.3616,2.54213,2.51241
"TNFRSF21",8.20391,7.97841,7.45239,8.01405,7.61983,7.83416,7.61729,6.69981,7.43444,7.9675,7.69941,7.80598,7.65431,8.73974,7.50096,8.29517,7.60005,7.30826,8.06993,7.74958,7.39986,8.32339,7.94468,7.68683,7.88698,7.59472,8.12986,7.67129,7.65883,7.98757,7.91953,7.9433,7.76816,7.85153,8.02668,8.30544,8.10851,8.11262,7.71449,7.62881,6.66745,7.84932,7.98016,7.92604,7.75132,8.03357,7.72414,7.77646,6.528,7.31578,7.84539,8.00663,7.81504,7.95646,8.10527,7.93288,6.37702,7.50054,8.25424,7.64419,7.65317,8.05269,8.00485,8.01618,6.75322,7.07991,7.02434,7.35971,7.08521,6.80508,6.7121,6.88181,7.09837,6.73835,6.75651,6.9825,6.74822,7.32916,7.19895,6.80542,7.23389,7.66318,7.75629,6.68607,7.09146,7.43677,7.48224,6.86975,6.75218,7.1329,7.3067,7.11525,6.98442,6.71845,7.38214,7.1743,5.64545,5.62431,5.77861,5.86944,5.90025
